REX AV 	5200 - 5299 	52ND ST - SHILOH RD 	Not Posted, Both Sides 3rd Mon	
REX AV 	5300 - 5399 	SHILOH RD - END 	Not Posted, Both Sides 3rd Mon	
REXFORD DR 	1900 - 2199 	GATEWAY DR - CRENSHAW ST 	Not Posted, Both Sides 2nd Mon	
RICHARD ST 	6400 - 6439 	GARY ST - LA DORNA ST 	Not Posted, Both Sides 2nd Mon	
RICHARD ST 	6440 - 6499 	LA DORNA ST - CATOCTIN DR 	Not Posted, Both Sides 2nd Mon	
RICHARD ST 	6600 - 6699 	LENORE DR - 67TH ST 	Not Posted, Both Sides 2nd Mon	
RICHARD ST 	6700 - 6799 	67TH ST - JUDSON WY 	Not Posted, Both Sides 2nd Mon	
RICHARD ST 	6800 - 6899 	BOCAW PL - 69TH ST 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	1700 - 1799 	BEGIN - ELM ST 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	1800 - 1899 	ELM ST - JOCELYN ST 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	1900 - 1950 	JOCELYN ST - LAURINDA PL 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	1951 - 1999 	LAURINDA PL - FAIRMOUNT AV 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2000 - 2009 	FAIRMOUNT AV - HAZELWOOD PL 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2010 - 2049 	HAZELWOOD PL - CYNTHIA PL 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2050 - 2099 	CYNTHIA PL - LARCH ST 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2100 - 2199 	LARCH ST - CLEMATIS ST 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2200 - 2299 	CLEMATIS ST - WENDELL ST 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2300 - 2419 	WENDELL ST - LAUREL ST 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2420 - 2699 	LAUREL ST - CLIFFORD ST 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2700 - 2899 	CLIFFORD ST - BAILY AV 	Not Posted, Both Sides 2nd Mon	
RIDGE VIEW DR 	2900 - 2999 	BAILY AV - ALTADENA AV 	Not Posted, Both Sides 2nd Mon	
RIDGEWAY 	4100 - 4199 	CANTERBURY DR - MARLBOROUGH DR 	Not Posted, Both Sides 4th Mon	
RIDGEWAY 	4200 - 4209 	MARLBOROUGH DR - EAST PALISADES RD 	Not Posted, Both Sides 4th Mon	
RIDGEWAY 	4210 - 4299 	EAST PALISADES RD - END 	Not Posted, Both Sides 4th Mon	
RIDGEWAY 	4300 - 4399 	BEGIN - END 	Not Posted, Both Sides 4th Mon	
RINCON ST 	5100 - 5199 	EWING ST - EWING ST 	Not Posted, Both Sides 2nd Mon	
RINCON ST 	5200 - 5283 	EWING ST - TIPTON ST 	Not Posted, Both Sides 2nd Mon	
ROCHESTER RD 	4000 - 4099 	WESTMINSTER TR - KENSINGTON DR 	Not Posted, Both Sides 4th Mon	
ROCHESTER RD 	4100 - 4149 	KENSINGTON DR - MARLBOROUGH DR 	Not Posted, Both Sides 4th Mon	
ROCHESTER RD 	4150 - 4199 	MARLBOROUGH DR - LYMER DR 	Not Posted, Both Sides 4th Mon	
ROCKFORD DR 	4900 - 4999 	MESITA DR - PONTIAC ST 	Not Posted, Both Sides 2nd Mon	
ROCKFORD DR 	5000 - 5020 	PONTIAC ST - DOROTHY DR 	Not Posted, Both Sides 2nd Mon	
ROCKFORD DR 	5021 - 5060 	DOROTHY DR - MARY LANE DR 	Not Posted, Both Sides 2nd Mon	
ROCKFORD DR 	5061 - 5099 	MARY LANE DR - MONTEZUMA RD 	Not Posted, Both Sides 2nd Mon	
RODRIGO DR 	4300 - 4320 	TARRAGONA DR - LORCA DR 	Not Posted, Both Sides 2nd Mon	
RODRIGO DR 	4321 - 4359 	LORCA DR - CARTAGENA DR 	Not Posted, Both Sides 2nd Mon	
ROLANDO BL 	4200 - 4299 	UNIVERSITY AV - MALCOLM DR 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4300 - 4353 	MALCOLM DR - REVILLO DR 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4354 - 4399 	REVILLO DR - ARAGON WY 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4400 - 4499 	ARAGON WY - ARAGON DR 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4500 - 4599 	ARAGON DR - MATARO DR 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4600 - 4649 	MATARO DR - ALAMO DR 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4650 - 4699 	ALAMO DR - SOLITA AV 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4700 - 4799 	SOLITA AV - SERRANO PL 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4800 - 4809 	SERRANO PL - SHANNON AV 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO BL 	4810 - 4859 	SHANNON AV - EL CAJON BL 	Not Posted, Both Sides Even Month 4th Tue	
ROLANDO CT 	4840 - 4899 	EL CAJON BL - END 	Not Posted, Both Sides Even Month 4th Tue	
ROSE PL 	4700 - 4799 	BEGIN - ROSE ST 	Not Posted, Both Sides 2nd Mon	
ROSE ST 	6170 - 6179 	AROSA ST - ROSE PL 	Not Posted, Both Sides 2nd Mon	
ROSE ST 	6180 - 6199 	ROSE PL - 62ND ST 	Not Posted, Both Sides 2nd Mon	
ROSE ST 	6200 - 6299 	62ND ST - 63RD ST 	Not Posted, Both Sides 2nd Mon	
ROSEFIELD DR 	6700 - 6799 	67TH ST - 68TH ST 	Not Posted, Both Sides Even Month 4th Tue	
ROSELAWN AV 	3600 - 3699 	EUCLID AV - LANDIS ST 	Not Posted, Both Sides 4th Mon	
ROSEVIEW PL 	2500 - 2599 	BEGIN - MAPLE ST 	Not Posted, Both Sides Odd Month 4th Tue	
ROWAN ST 	1600 - 1839 	PARROT ST - COLONIAL AV 	Not Posted, Both Sides 2nd Mon	
ROWAN ST 	1840 - 1999 	COLONIAL AV - 39TH ST 	Not Posted, Both Sides 2nd Mon	
ROXBURY RD 	5100 - 5199 	HILLDALE RD - MIDDLESEX DR 	Not Posted, Both Sides 4th Mon	
ROXY LN 	6500 - 6527 	CATOCTIN DR - LEO ST 	Not Posted, Both Sides 2nd Mon	
ROXY LN 	6530 - 6559 	LEO ST - ALUMNI PL 	Not Posted, Both Sides 2nd Mon	
S 35TH ST 	11 - 99 	BEGIN - DURANT ST 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	100 - 199 	DURANT ST - WEBSTER AV 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	1000 - 1099 	NATIONAL AV - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	1100 - 1199 	NEWTON AV - BOSTON AV 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	1200 - 1299 	BOSTON AV - ACACIA ST 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	200 - 399 	WEBSTER AV - FRANKLIN AV 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	400 - 449 	FRANKLIN AV - PARDEE PL 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	500 - 599 	I-15 NB OFF RA - VALLE AV 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	600 - 699 	VALLE AV - MARTIN AV 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	700 - 799 	MARTIN AV - FLORENCE ST 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	800 - 849 	FLORENCE ST - FLORENCE LN 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	850 - 899 	FLORENCE LN - LOGAN AV 	Not Posted, Both Sides 2nd Fri	
S 35TH ST 	900 - 999 	LOGAN AV - NATIONAL AV 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	100 - 219 	36TH ST - WEBSTER AV 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	1000 - 1099 	NATIONAL AV - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	1100 - 1199 	NEWTON AV - BOSTON AV 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	1200 - 1299 	BOSTON AV - Z ST 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	1300 - 1349 	Z ST - ACACIA ST 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	220 - 299 	WEBSTER AV - GILMORE ST 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	300 - 399 	GILMORE ST - FRANKLIN AV 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	400 - 432 	FRANKLIN AV - PARDEE PL 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	433 - 499 	PARDEE PL - OCEAN VIEW BL 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	500 - 599 	OCEAN VIEW BL - HEMLOCK ST 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	600 - 899 	HEMLOCK ST - LOGAN AV 	Not Posted, Both Sides 2nd Fri	
S 36TH ST 	900 - 999 	LOGAN AV - NATIONAL AV 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	1000 - 1099 	NATIONAL AV - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	1100 - 1199 	NEWTON AV - BOSTON AV 	Posted (10am - 1pm), WS 4th Fri 	Posted (10am - 1pm), ES 2nd Fri
S 37TH ST 	1200 - 1299 	BOSTON AV - Z ST 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	1300 - 1349 	Z ST - ACACIA GROVE WY 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	1400 - 1499 	BEGIN - BETA ST 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	1500 - 1549 	BETA ST - ACACIA ST 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	200 - 219 	IMPERIAL AV - CLINTON ST 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	220 - 269 	CLINTON ST - HARDING AV 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	270 - 324 	HARDING AV - GILMORE ST 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	325 - 399 	GILMORE ST - FRANKLIN AV 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	400 - 499 	FRANKLIN AV - OCEAN VIEW BL 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	500 - 519 	OCEAN VIEW BL - JEWELL DR 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	520 - 599 	JEWELL DR - HEMLOCK ST 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	600 - 699 	HEMLOCK ST - T ST 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	700 - 799 	T ST - FLORENCE ST 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	800 - 899 	FLORENCE ST - LOGAN AV 	Not Posted, Both Sides 2nd Fri	
S 37TH ST 	900 - 999 	LOGAN AV - NATIONAL AV 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	1000 - 1099 	NATIONAL AV - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	1100 - 1199 	NEWTON AV - BOSTON AV 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	1200 - 1299 	BOSTON AV - Z ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	1300 - 1349 	Z ST - ACACIA GROVE WY 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	1400 - 1499 	ALPHA ST - BETA ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	1500 - 1599 	BETA ST - GAMMA ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	1600 - 1699 	GAMMA ST - ACACIA ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	200 - 219 	IMPERIAL AV - CLINTON ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	220 - 250 	CLINTON ST - SUPERBA ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	251 - 299 	SUPERBA ST - HARDING AV 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	300 - 318 	HARDING AV - SUPERIOR ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	319 - 399 	SUPERIOR ST - FRANKLIN AV 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	400 - 499 	FRANKLIN AV - OCEAN VIEW BL 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	500 - 529 	OCEAN VIEW BL - TEAK ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	530 - 549 	TEAK ST - TEAK ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	550 - 599 	TEAK ST - HEMLOCK ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	600 - 609 	HEMLOCK ST - HEMLOCK ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	610 - 699 	HEMLOCK ST - T ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	700 - 799 	T ST - FLORENCE ST 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	800 - 899 	FLORENCE ST - LOGAN AV 	Not Posted, Both Sides 2nd Fri	
S 38TH ST 	900 - 999 	LOGAN AV - NATIONAL AV 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	1000 - 1099 	NATIONAL AV - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	1100 - 1199 	NEWTON AV - BOSTON AV 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	1200 - 1299 	BOSTON AV - Z ST 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	1500 - 1599 	BEGIN - GAMMA ST 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	200 - 249 	IMPERIAL AV - SUPERBA ST 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	250 - 299 	SUPERBA ST - SUPERIOR ST 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	300 - 399 	SUPERIOR ST - FRANKLIN AV 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	400 - 499 	FRANKLIN AV - OCEAN VIEW BL 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	500 - 539 	OCEAN VIEW BL - TEAK ST 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	540 - 599 	TEAK ST - HEMLOCK ST 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	600 - 699 	HEMLOCK ST - T ST 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	700 - 799 	T ST - FLORENCE ST 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	800 - 899 	FLORENCE ST - LOGAN AV 	Not Posted, Both Sides 2nd Fri	
S 39TH ST 	900 - 999 	LOGAN AV - NATIONAL AV 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	0 - 0 	BEGIN - LOGAN AV 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	100 - 249 	IMPERIAL AV - PARK HAVEN CT 	Not Posted, Both Sides Mon	
S 40TH ST 	1000 - 1099 	NATIONAL AV - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	1100 - 1199 	NEWTON AV - BOSTON AV 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	1200 - 1299 	BOSTON AV - Z ST 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	1300 - 1319 	Z ST - ALPHA ST 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	1320 - 1599 	ALPHA ST - GAMMA ST 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	250 - 299 	PARK HAVEN CT - FRANKLIN AV 	Not Posted, Both Sides Mon	
S 40TH ST 	300 - 399 	FRANKLIN AV - FRANKLIN AV 	Not Posted, Both Sides Mon	
S 40TH ST 	400 - 499 	FRANKLIN AV - OCEAN VIEW BL 	Not Posted, Both Sides Mon	
S 40TH ST 	500 - 559 	OCEAN VIEW BL - TEAK ST 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	560 - 599 	TEAK ST - HEMLOCK ST 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	600 - 699 	HEMLOCK ST - T ST 	Not Posted, Both Sides 2nd Fri	
S 40TH ST 	900 - 999 	LOGAN AV - NATIONAL AV 	Not Posted, Both Sides 2nd Fri	
S 41ST ST 	1000 - 1099 	NATIONAL AV - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S 41ST ST 	1100 - 1199 	NEWTON AV - BOSTON AV 	Not Posted, Both Sides 2nd Fri	
S 41ST ST 	1400 - 1499 	ALPHA ST - END 	Not Posted, Both Sides 2nd Fri	
S 41ST ST 	1500 - 1599 	BETA ST - GAMMA ST 	Not Posted, Both Sides 2nd Fri	
S 41ST ST 	700 - 999 	S BOUNDARY ST - NATIONAL AV 	Not Posted, Both Sides 2nd Fri	
S 42ND ST 	1500 - 1599 	BETA ST - GAMMA ST 	Not Posted, Both Sides 2nd Fri	
S 42ND ST 	500 - 751 	OCEAN VIEW BL - END 	Not Posted, Both Sides 2nd Fri	
S 43RD ST 	1000 - 1099 	NATIONAL AV - NEWTON AV 	Not Posted, Both Sides Tue	
S 43RD ST 	1100 - 1149 	NEWTON AV - KEELER AV 	Not Posted, Both Sides Tue	
S 43RD ST 	1150 - 1199 	KEELER AV - KEELER AV 	Not Posted, Both Sides Tue	
S 43RD ST 	1200 - 1299 	KEELER AV - ALPHA ST 	Not Posted, Both Sides Tue	
S 43RD ST 	1300 - 1349 	BOSTON AV - ALPHA ST 	Not Posted, Both Sides Tue	
S 43RD ST 	1350 - 1499 	Z ST - BETA ST 	Not Posted, Both Sides Tue	
S 43RD ST 	1500 - 1599 	BETA ST - GAMMA ST 	Not Posted, Both Sides Tue	
S 43RD ST 	1600 - 1649 	GAMMA ST - DELTA ST 	Not Posted, Both Sides Tue	
S 43RD ST 	900 - 999 	LOGAN AV - NATIONAL AV 	Not Posted, Both Sides Tue	
S 44TH ST 	1000 - 1099 	BEGIN - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S 44TH ST 	1100 - 1199 	NEWTON AV - KEELER AV 	Not Posted, Both Sides 2nd Fri	
S 44TH ST 	1200 - 1299 	KEELER AV - BOSTON AV 	Not Posted, Both Sides 2nd Fri	
S 44TH ST 	1300 - 1399 	BOSTON AV - Z ST 	Not Posted, Both Sides 2nd Fri	
S 44TH ST 	1400 - 1499 	Z ST - MAYBERRY ST 	Not Posted, Both Sides 2nd Fri	
S 45TH ST 	1100 - 1199 	NEWTON AV - KEELER AV 	Not Posted, Both Sides 2nd Fri	
S 45TH ST 	1200 - 1299 	KEELER AV - BOSTON AV 	Not Posted, Both Sides 2nd Fri	
S 45TH ST 	1300 - 1329 	BOSTON AV - Z ST 	Not Posted, Both Sides 2nd Fri	
S 45TH ST 	1330 - 1439 	Z ST - MAYBERRY ST 	Not Posted, Both Sides 2nd Fri	
S 45TH ST 	1440 - 1499 	MAYBERRY ST - END 	Not Posted, Both Sides 2nd Fri	
S 45TH ST 	900 - 1099 	LOGAN AV - NEWTON AV 	Not Posted, Both Sides 2nd Fri	
S BOUNDARY ST 	500 - 599 	OCEAN VIEW BL - HEMLOCK ST 	Not Posted, Both Sides 2nd Fri	
S BOUNDARY ST 	600 - 699 	HEMLOCK ST - S 41ST ST 	Not Posted, Both Sides 2nd Fri	
S FRANCIS ST 	200 - 399 	WEBSTER AV - END 	Not Posted, Both Sides 2nd Fri	
S PARDEE ST 	11 - 149 	BEGIN - DURANT ST 	Not Posted, Both Sides 2nd Fri	
S PARDEE ST 	200 - 399 	WEBSTER AV - FRANKLIN AV 	Not Posted, Both Sides 2nd Fri	
S PARDEE ST 	400 - 499 	FRANKLIN AV - PARDEE PL 	Not Posted, Both Sides 2nd Fri	
SALTA PL 	3300 - 3339 	CHOLLAS PY - STREAMVIEW DR 	Not Posted, Both Sides 4th Mon	
SAN MIGUEL AV 	4180 - 4199 	FRANKLIN AV - OCEAN VIEW BL 	Not Posted, Both Sides 2nd Fri	
SAN MIGUEL AV 	550 - 599 	OCEAN VIEW BL - HEMLOCK ST 	Not Posted, Both Sides 2nd Fri	
SAN MIGUEL AV 	600 - 739 	HEMLOCK ST - END 	Not Posted, Both Sides 2nd Fri	
SAN PASQUAL ST 	500 - 842 	OCEAN VIEW BL - LOGAN AV 	Not Posted, Both Sides 2nd Fri	
SARANAC ST 	6500 - 6529 	CATOCTIN DR - LEO ST 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	6530 - 6599 	LEO ST - ALUMNI PL 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	6600 - 6659 	BEGIN - LENORE DR 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	6660 - 6699 	LENORE DR - 67TH ST 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	6700 - 6799 	67TH ST - 68TH ST 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	6800 - 6839 	68TH ST - BOCAW PL 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	6840 - 6899 	BOCAW PL - 69TH ST 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	6900 - 6959 	69TH ST - MANCHESTER RD 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	6960 - 6999 	MANCHESTER RD - 70TH ST 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	7000 - 7099 	70TH ST - 71ST ST 	Not Posted, Both Sides 2nd Mon	
SARANAC ST 	7100 - 7199 	71ST ST - 72ND ST 	Not Posted, Both Sides 2nd Mon	
SAXON ST 	5300 - 5349 	MANHASSET DR - PENNY PL 	Not Posted, Both Sides Even Month 3rd Thu	
SAXON ST 	5350 - 5369 	PENNY PL - WALSH WY 	Not Posted, Both Sides Even Month 3rd Thu	
SAXON ST 	5370 - 5399 	WALSH WY - REMINGTON RD 	Not Posted, Both Sides Even Month 3rd Thu	
SEMINOLE DR 	4500 - 4519 	ARENDO DR - BRADFORD ST 	Not Posted, Both Sides 2nd Mon	
SEMINOLE DR 	4520 - 4560 	BRADFORD ST - ACORN ST 	Not Posted, Both Sides 2nd Mon	
SEMINOLE DR 	4561 - 4599 	ACORN ST - ACORN ST 	Not Posted, Both Sides 2nd Mon	
SEMINOLE DR 	4600 - 4699 	ACORN ST - STANLEY AV 	Not Posted, Both Sides 2nd Mon	
SEMINOLE DR 	4700 - 4763 	STANLEY AV - ART ST 	Not Posted, Both Sides 2nd Mon	
SEMINOLE DR 	4764 - 4769 	ART ST - SOLITA AV 	Not Posted, Both Sides 2nd Mon	
SEMINOLE DR 	4770 - 4899 	SOLITA AV - EL CAJON BL 	Not Posted, Both Sides 2nd Mon	
SERRANO PL 	6500 - 6588 	ARAGON DR - ROLANDO BL 	Not Posted, Both Sides Even Month 4th Tue	
SHAMROCK ST 	2260 - 2449 	BEGIN - SYCAMORE DR 	Not Posted, Both Sides Odd Month 4th Tue	
SHANE PL 	6400 - 6475 	BEGIN - LA DORNA ST 	Not Posted, Both Sides 2nd Mon	
SHANNON AV 	6600 - 6604 	ROLANDO BL - VALENCIA DR 	Not Posted, Both Sides Even Month 4th Tue	
SHANNON AV 	6605 - 6610 	VALENCIA DR - LENORE DR 	Not Posted, Both Sides Even Month 4th Tue	
SHANNON AV 	6611 - 6699 	LENORE DR - 67TH ST 	Not Posted, Both Sides Even Month 4th Tue	
SHANNON AV 	6700 - 6719 	67TH ST - END 	Not Posted, Both Sides Even Month 4th Tue	
SHARRON PL 	4200 - 4209 	ORANGE AV - VALE WY 	Not Posted, Both Sides 2nd Mon	
SHARRON PL 	4210 - 4299 	VALE WY - TROJAN AV 	Not Posted, Both Sides 2nd Mon	
SHILOH RD 	3700 - 3799 	OGDEN ST - WIGHTMAN ST 	Not Posted, Both Sides 3rd Mon	
SHILOH RD 	3800 - 3849 	WIGHTMAN ST - REX AV 	Not Posted, Both Sides 3rd Mon	
SHILOH RD 	3850 - 3951 	REX AV - UNIVERSITY AV 	Not Posted, Both Sides 3rd Mon	
SHORT ST 	4300 - 4399 	WEST TALMADGE DR - EAST TALMADGE DR 	Not Posted, Both Sides 4th Mon	
SIESTA DR 	5400 - 5439 	BEGIN - CAJON WY 	Not Posted, Both Sides Even Month 3rd Thu	
SIESTA DR 	5440 - 5499 	CAJON WY - 55TH ST 	Not Posted, Both Sides Even Month 3rd Thu	
SNOWDROP ST 	2500 - 2579 	BEGIN - SYCAMORE DR 	Not Posted, Both Sides Odd Month 4th Tue	
SNOWDROP ST 	2580 - 2659 	SYCAMORE DR - PEPPER DR 	Not Posted, Both Sides Odd Month 4th Tue	
SNOWDROP ST 	2660 - 2739 	PEPPER DR - POPLAR ST 	Not Posted, Both Sides Odd Month 4th Tue	
SNOWDROP ST 	2740 - 2789 	POPLAR ST - ARBOR VITAE ST 	Not Posted, Both Sides Odd Month 4th Tue	
SNOWDROP ST 	2790 - 2799 	ARBOR VITAE ST - MANZANITA DR 	Not Posted, Both Sides Odd Month 4th Tue	
SOLITA AV 	6400 - 6449 	SEMINOLE DR - FILIPO ST 	Not Posted, Both Sides 2nd Mon	
SOLITA AV 	6450 - 6499 	FILIPO ST - ARAGON DR 	Not Posted, Both Sides 2nd Mon	
SOLITA AV 	6500 - 6549 	ARAGON DR - ROLANDO BL 	Not Posted, Both Sides 2nd Mon	
SOLITA AV 	6550 - 6599 	ROLANDO BL - VALENCIA DR 	Not Posted, Both Sides Even Month 4th Tue	
SOLITA AV 	6600 - 6649 	VALENCIA DR - LENORE DR 	Not Posted, Both Sides Even Month 4th Tue	
SOLITA AV 	6650 - 6699 	LENORE DR - 67TH ST 	Not Posted, Both Sides Even Month 4th Tue	
SORIA DR 	4600 - 4699 	COLLEGE AV - ADAMS AV 	Not Posted, Both Sides Even Month 3rd Thu	
SORIA DR 	4700 - 4799 	ADAMS AV - AROSA ST 	Not Posted, Both Sides Even Month 3rd Thu	
SOUTH HEMPSTEAD CR 	4000 - 4008 	NORTH HEMPSTEAD CR - WESLEYAN PL 	Not Posted, Both Sides 4th Mon	
SOUTH HEMPSTEAD CR 	4009 - 4099 	WESLEYAN PL - CANTERBURY DR 	Not Posted, Both Sides 4th Mon	
SOUTHLOOK AV 	200 - 299 	IMPERIAL AV - GILMORE ST 	Not Posted, Both Sides 2nd Fri	
SOUTHLOOK AV 	300 - 451 	GILMORE ST - OLIVEWOOD TR 	Not Posted, Both Sides 2nd Fri	
SPARTAN CR 	4200 - 4249 	SPARTAN DR - END 	Not Posted, Both Sides 2nd Mon	
SPARTAN DR 	5600 - 5699 	BEGIN - SPARTAN CR 	Not Posted, Both Sides 2nd Mon	
SPARTAN DR 	5700 - 5799 	SPARTAN CR - 58TH ST 	Not Posted, Both Sides 2nd Mon	
SPILLMAN DR 	4100 - 4199 	HOME AV - 42ND ST 	Not Posted, Both Sides 2nd Mon	
SPILLMAN DR 	4200 - 4229 	42ND ST - END 	Not Posted, Both Sides 2nd Mon	
SPRINGER RD 	1900 - 1949 	TRAILING DR - PANAY CT 	Not Posted, Both Sides 2nd Mon	
STANLEY AV 	6200 - 6299 	62ND ST - 63RD ST 	Not Posted, Both Sides 2nd Mon	
STANLEY AV 	6300 - 6302 	63RD ST - 63RD ST 	Not Posted, Both Sides 2nd Mon	
STANLEY AV 	6303 - 6369 	63RD ST - SEMINOLE DR 	Not Posted, Both Sides 2nd Mon	
STANLEY AV 	6370 - 6399 	SEMINOLE DR - CATHERINE AV 	Not Posted, Both Sides 2nd Mon	
STANLEY AV 	6400 - 6451 	CATHERINE AV - VIRGINIA AV 	Not Posted, Both Sides 2nd Mon	
